Name,Url of Property,Description 1,Description 2,Price,Time,Img
à¶à·à¶½à· à¶´à·à¶»à¶§ à¶à·à·à¶¯à·à¶± à¶¯à·à¶»à·à¶±à· à·à¶§à·à¶±à· à¶à¶©à¶¸à·,https://ikman.lk/en/ad/gaalu-paartt-avidin-durin-vttinaa-iddm-for-sale-kalutara,10.0 perches,"Kalutara, Land",$1468.3098591549297 per perch,3 minutes,https://i.ikman-st.com/gaalu-paartt-avidin-durin-vttinaa-iddm-for-sale-kalutara/ec579030-2a7b-429b-b7ed-859c92d31ec5/142/107/cropped.jpg
à¶¶à·à¶ºà¶à¶¸ - LAND FOR SALE,https://ikman.lk/en/ad/biygm-land-for-sale-for-sale-colombo-2,10.0 perches,"Colombo, Land",$1028.1690140845071 per perch,3 minutes,https://i.ikman-st.com/biygm-land-for-sale-for-sale-colombo-2/3cc5fad7-ba15-46d6-bf6e-5f27a63e271e/142/107/cropped.jpg
Exclusive property for spadukka,https://ikman.lk/en/ad/exclusive-property-for-spadukka-for-sale-colombo,10.0 perches,"Colombo, Land",$774.6478873239437 per perch,3 minutes,https://i.ikman-st.com/exclusive-property-for-spadukka-for-sale-colombo/6cad5947-35a7-4150-a76a-24bc12fdcb63/142/107/cropped.jpg
21 Perch Solid Land for Sale seeduwa katunayaka,https://ikman.lk/en/ad/21-perch-solid-land-for-sale-seeduwa-katunayaka-for-sale-gampaha,21.0 perches,"Gampaha, Land",$1267.605633802817 per perch,4 minutes,https://i.ikman-st.com/21-perch-solid-land-for-sale-seeduwa-katunayaka-for-sale-gampaha/950791c4-8dfb-439c-8c58-e605be6c266e/142/107/cropped.jpg
12.5 Perch Solid Land for Sale aluthgama,https://ikman.lk/en/ad/125-perch-solid-land-for-sale-aluthgama-for-sale-kalutara,12.5 perches,"Kalutara, Land",$591.5492957746479 per perch,4 minutes,https://i.ikman-st.com/125-perch-solid-land-for-sale-aluthgama-for-sale-kalutara/492413b9-a793-490a-856f-c8b8132997c7/142/107/cropped.jpg
Ariyana Resort Apartment | For Sale Athurugiriya - Property ID A1514 for sale,https://ikman.lk/en/ad/ariyana-resort-apartment-for-sale-athurugiriya-property-id-a1514-for-sale-colombo,"Bedrooms: 2, Bathrooms: 2","Colombo, Apartments For Sale",null,null,null
Ariyana Apartment | For Sale Athurugiriya - Property ID A1511 for sale,https://ikman.lk/en/ad/ariyana-apartment-for-sale-athurugiriya-property-id-a1511-for-sale-colombo,"Bedrooms: 3, Bathrooms: 2","Colombo, Apartments For Sale",null,null,null
Land for Sale Nittambuwa Town,https://ikman.lk/en/ad/land-for-sale-nittambuwa-town-for-sale-gampaha-8,12.5 perches,"Gampaha, Land",$774.6478873239437 per perch,5 minutes,https://i.ikman-st.com/land-for-sale-nittambuwa-town-for-sale-gampaha-8/dc7ddd60-db1e-45a9-b049-4eb093ea81ed/142/107/cropped.jpg
12.5 Perch Solid Land for Sale kosgoda,https://ikman.lk/en/ad/125-perch-solid-land-for-sale-kosgoda-for-sale-galle-2,12.5 perches,"Galle, Land",$957.7464788732394 per perch,6 minutes,https://i.ikman-st.com/125-perch-solid-land-for-sale-kosgoda-for-sale-galle-2/916acced-cf2d-4d5a-b741-be02edaccda3/142/107/cropped.jpg
First Floor House for Rent - Kelaniya for rent,https://ikman.lk/en/ad/first-floor-house-for-rent-kelaniya-for-rent-gampaha,"Beds: 2, Baths: 1","Gampaha, House Rentals",null,null,null
Land for Sale in Homagama,https://ikman.lk/en/ad/land-for-sale-in-homagama-for-sale-colombo-3580,11.47 perches,"Colombo, Land",$845.0704225352113 per perch,.bump-up_svg__st1{fill:#ffc800},https://i.ikman-st.com/land-for-sale-in-homagama-for-sale-colombo-3580/2ca4f2a0-7ff8-4afa-9a57-0cae141cfc4a/142/107/cropped.jpg
Land for sale in Pannipitiya,https://ikman.lk/en/ad/land-for-sale-in-pannipitiya-for-sale-colombo-1369,7.75 perches,"Colombo, Land",$5492.957746478874 per perch,11 minutes,https://i.ikman-st.com/land-for-sale-in-pannipitiya-for-sale-colombo-1369/de331345-3e38-4372-a1a2-902c5a4bed68/142/107/cropped.jpg
12.5 Perch Solid Land for Sale pugoda,https://ikman.lk/en/ad/125-perch-solid-land-for-sale-pugoda-for-sale-gampaha,12.5 perches,"Gampaha, Land",$633.8028169014085 per perch,12 minutes,https://i.ikman-st.com/125-perch-solid-land-for-sale-pugoda-for-sale-gampaha/a79329f2-ca1c-4b60-9bfc-094c79a18055/142/107/cropped.jpg
Land for Sale in Gelanigama,https://ikman.lk/en/ad/land-for-sale-in-gelanigama-bandaragama-for-sale-kalutara,13.5 perches,"Kalutara, Land",$39436.619718309856 total price,.bump-up_svg__st1{fill:#ffc800},https://i.ikman-st.com/land-for-sale-in-gelanigama-bandaragama-for-sale-kalutara/00ecc621-50c9-4d2f-8362-e340a4a933a3/142/107/cropped.jpg
12.9 Perch Solid Land for Sale kiridiwala,https://ikman.lk/en/ad/129-perch-solid-land-for-sale-kiridiwala-for-sale-gampaha,12.9 perches,"Gampaha, Land",$492.9577464788732 per perch,14 minutes,https://i.ikman-st.com/129-perch-solid-land-for-sale-kiridiwala-for-sale-gampaha/e052708a-1753-471b-a228-32a76a10d754/142/107/cropped.jpg
Land for Sale - Kaduwela,https://ikman.lk/en/ad/land-for-sale-kaduwela-for-sale-colombo-1544,10.0 perches,"Colombo, Land",$27887.323943661973 total price,.bump-up_svg__st1{fill:#ffc800},https://i.ikman-st.com/land-for-sale-kaduwela-for-sale-colombo-1544/a260352b-8c9e-49a5-8d3f-997f4dccc6ad/142/107/cropped.jpg
12 Perch Solid Land for Sale padukka,https://ikman.lk/en/ad/12-perch-solid-land-for-sale-padukka-for-sale-colombo-1,12.0 perches,"Colombo, Land",$774.6478873239437 per perch,16 minutes,https://i.ikman-st.com/12-perch-solid-land-for-sale-padukka-for-sale-colombo-1/7031efba-18e1-4de0-9664-356b25946ecc/142/107/cropped.jpg
Wadduwa Land for Sale,https://ikman.lk/en/ad/wadduwa-land-for-sale-for-sale-kalutara-87,10.0 perches,"Kalutara, Land",$1549.2957746478874 per perch,16 minutes,https://i.ikman-st.com/wadduwa-land-for-sale-for-sale-kalutara-87/07d6da3b-9708-4bef-a77c-cfea912df053/142/107/cropped.jpg
Land for sale in Padukka,https://ikman.lk/en/ad/land-for-sale-in-padukka-for-sale-colombo-1688,12.0 perches,"Colombo, Land",$915.4929577464789 per perch,.bump-up_svg__st1{fill:#ffc800},https://i.ikman-st.com/land-for-sale-in-padukka-for-sale-colombo-1688/c00b5240-114f-42e6-bc7b-4c2fd2f2933f/142/107/cropped.jpg
House for Rent in Katubedda for rent,https://ikman.lk/en/ad/house-for-rent-in-katubedda-for-rent-colombo-332,"Beds: 5, Baths: 2","Colombo, House Rentals",null,null,null
Land for sale in Athurugiriya,https://ikman.lk/en/ad/land-for-sale-in-athurugiriya-for-sale-colombo-2837,10.25 perches,"Colombo, Land",$53521.126760563384 total price,.bump-up_svg__st1{fill:#ffc800},https://i.ikman-st.com/land-for-sale-in-athurugiriya-for-sale-colombo-2837/65baaf94-3ada-4398-ba29-6a52bcdac17c/142/107/cropped.jpg
à¶¶à¶«à·à¶©à·à¶»à¶à¶¸ à¶à·à¶§à·à¶±à· à¶à¶©à¶¸à¶à· à·à·à¶à·à¶«à·à¶¸à¶§,https://ikman.lk/en/ad/bnnddaargm-avttin-iddmk-vikinniimtt-for-sale-kalutara,12.0 perches,"Kalutara, Land",$774.6478873239437 per perch,17 minutes,https://i.ikman-st.com/bnnddaargm-avttin-iddmk-vikinniimtt-for-sale-kalutara/f6139f13-8c60-47fe-9dbf-5c0e773e651c/142/107/cropped.jpg
14.25 Perch Solid Land for Sale Nittambuwa,https://ikman.lk/en/ad/1425-perch-solid-land-for-sale-nittambuwa-for-sale-gampaha,14.25 perches,"Gampaha, Land",$774.6478873239437 per perch,18 minutes,https://i.ikman-st.com/1425-perch-solid-land-for-sale-nittambuwa-for-sale-gampaha/6613985d-d026-4976-ac57-4df00add31d1/142/107/cropped.jpg
Ground floor Apartment For Rent Panagoda for rent,https://ikman.lk/en/ad/ground-floor-apartment-for-rent-for-rent-colombo-19,"Beds: 2, Baths: 1","Colombo, Apartment Rentals",null,null,null
Residential Land for Sale in Colombo 05 (C7-0883),https://ikman.lk/en/ad/residential-land-for-sale-in-colombo-05-c7-0883-for-sale-colombo,15.0 perches,"Colombo, Land",$38028.16901408451 per perch,21 minutes,https://i.ikman-st.com/residential-land-for-sale-in-colombo-05-c7-0883-for-sale-colombo/ac73751b-65cc-4c06-af48-92f5de3ee147/142/107/cropped.jpg
Land for Sale in Bandaragama,https://ikman.lk/en/ad/land-for-sale-in-bandaragama-for-sale-kalutara-1809,18.0 perches,"Kalutara, Land",$788.7323943661971 per perch,.bump-up_svg__st1{fill:#ffc800},https://i.ikman-st.com/land-for-sale-in-bandaragama-for-sale-kalutara-1809/6061ba9a-faec-4e94-aea7-c58d654e3697/142/107/cropped.jpg
Land For Sale In Moratuwa,https://ikman.lk/en/ad/land-for-sale-in-moratuwa-for-sale-colombo-744,6.2 perches,"Colombo, Land",$3380.281690140845 per perch,.bump-up_svg__st1{fill:#ffc800},https://i.ikman-st.com/land-for-sale-in-moratuwa-for-sale-colombo-744/07824446-32eb-4ded-a2e2-f1beced9191a/142/107/cropped.jpg
